https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume ETH,Volume BUSD,tradecount
1592092800000,2020-06-14,ETHBUSD,238.02,238.53,229.82,231.51,8294.90292,1940912.4545501,7382
1592006400000,2020-06-13,ETHBUSD,237.63,238.7,234.57,238.06,5980.39208,1415688.6856683,9140
1591920000000,2020-06-12,ETHBUSD,229.87,239.28,228.09,237.59,10787.54688,2539672.660064,9849
1591833600000,2020-06-11,ETHBUSD,247.91,250.32,225.34,230.25,20862.5835,4957068.7313249,17166
1591747200000,2020-06-10,ETHBUSD,243.97,250.6,242.21,247.74,10996.61392,2701267.359384,15867
1591660800000,2020-06-09,ETHBUSD,246.55,249.85,238.59,243.97,11465.05125,2795842.0764918,14435
1591574400000,2020-06-08,ETHBUSD,244.74,247.77,241.0,246.37,7016.64533,1711758.3075399,7153
1591488000000,2020-06-07,ETHBUSD,242.0,245.38,234.54,244.65,10659.23124,2559857.4289909,9232
1591401600000,2020-06-06,ETHBUSD,239.93,244.53,237.77,241.82,7263.06211,1751151.257989,8118
1591315200000,2020-06-05,ETHBUSD,243.34,247.98,239.0,239.94,9128.83357,2215987.1540971,6883
1591228800000,2020-06-04,ETHBUSD,244.59,246.59,236.0,243.43,15429.81947,3747612.3034448,11525
1591142400000,2020-06-03,ETHBUSD,237.74,245.23,233.23,244.35,17115.14252,4097392.0408606,18689
1591056000000,2020-06-02,ETHBUSD,248.44,253.52,225.91,237.73,23785.23562,5717016.6279263,13446
1590969600000,2020-06-01,ETHBUSD,231.56,251.18,230.57,248.71,17608.21893,4268761.4423806,10918
1590883200000,2020-05-31,ETHBUSD,243.6,245.42,229.58,231.32,27314.90634,6478246.8556691,11329
1590796800000,2020-05-30,ETHBUSD,220.59,247.18,218.62,243.52,32708.21564,7664429.1771267,11736
1590710400000,2020-05-29,ETHBUSD,220.31,224.81,217.35,220.52,10815.51097,2387636.1395344,7022
1590624000000,2020-05-28,ETHBUSD,208.3,220.59,204.62,220.3,12159.03459,2577811.5887772,8527
1590537600000,2020-05-27,ETHBUSD,200.99,208.5,200.71,208.3,10283.12071,2111976.8339372,6619
1590451200000,2020-05-26,ETHBUSD,204.01,204.94,196.62,200.76,9385.66765,1890936.429491,6262
1590364800000,2020-05-25,ETHBUSD,199.53,205.61,198.08,204.01,12273.61164,2492893.3110498,12837
1590278400000,2020-05-24,ETHBUSD,206.53,210.64,199.5,199.65,13374.44691,2756440.7211944,10283
1590192000000,2020-05-23,ETHBUSD,207.29,211.1,204.67,206.53,8424.75766,1749455.4322656,6102
1590105600000,2020-05-22,ETHBUSD,198.5,209.15,196.09,207.26,17750.04969,3627352.5687053,10438
1590019200000,2020-05-21,ETHBUSD,209.79,211.47,191.44,198.5,22699.36211,4557438.8256352,11288
1589932800000,2020-05-20,ETHBUSD,214.76,215.5,206.0,209.79,10577.06532,2232169.0277033,8131
1589846400000,2020-05-19,ETHBUSD,214.85,215.83,209.32,214.58,10606.78647,2255617.1053601,7014
1589760000000,2020-05-18,ETHBUSD,207.02,217.08,206.9,214.81,29155.72741,6209694.4594426,11025
1589673600000,2020-05-17,ETHBUSD,200.43,209.76,199.65,207.01,14933.91934,3070548.5855001,8042
1589587200000,2020-05-16,ETHBUSD,194.76,203.31,193.02,200.42,16201.2112,3241024.5499045,9842
1589500800000,2020-05-15,ETHBUSD,203.47,204.11,191.55,194.76,21295.56658,4222727.1323894,12205
1589414400000,2020-05-14,ETHBUSD,199.94,206.03,195.8,203.35,22516.94322,4544918.0767902,12949
1589328000000,2020-05-13,ETHBUSD,189.79,201.36,188.5,199.75,19995.68546,3902220.3063543,9717
1589241600000,2020-05-12,ETHBUSD,185.89,192.31,185.59,189.9,22583.00665,4272251.1778303,11192
1589155200000,2020-05-11,ETHBUSD,187.65,193.57,176.36,186.02,47247.93009,8781478.8440559,20251
1589068800000,2020-05-10,ETHBUSD,210.06,210.1,179.0,187.56,60345.66831,11427683.042601,27835
1588982400000,2020-05-09,ETHBUSD,211.53,214.78,208.46,210.1,19454.02705,4124556.4468447,13469
1588896000000,2020-05-08,ETHBUSD,212.39,216.86,207.25,211.57,17330.44391,3680048.7272595,14414
1588809600000,2020-05-07,ETHBUSD,199.21,215.55,196.95,212.16,29316.0218,6097522.2492248,22040
1588723200000,2020-05-06,ETHBUSD,205.5,211.07,197.95,199.38,19260.21988,3985650.9875828,14281
1588636800000,2020-05-05,ETHBUSD,206.88,211.91,201.26,205.4,18097.21218,3714410.1125425,12603
1588550400000,2020-05-04,ETHBUSD,210.16,210.88,195.12,206.93,34279.60713,6933400.6080527,17759
1588464000000,2020-05-03,ETHBUSD,214.04,219.37,205.14,210.06,14435.32272,3072744.5092587,15866
1588377600000,2020-05-02,ETHBUSD,212.06,215.5,210.55,213.93,9334.3278,1987734.9269141,9051
1588291200000,2020-05-01,ETHBUSD,206.19,217.5,206.07,212.12,21976.45411,4659872.5249926,17699
1588204800000,2020-04-30,ETHBUSD,215.55,227.59,202.33,206.3,38533.98885,8195836.0995192,30352
1588118400000,2020-04-29,ETHBUSD,196.61,219.22,196.57,215.55,34483.60269,7185166.5050033,19878
1588032000000,2020-04-28,ETHBUSD,196.84,197.86,192.64,196.61,12782.40298,2500205.2799648,8941
1587945600000,2020-04-27,ETHBUSD,197.66,199.2,189.95,196.87,36001.67262,7008398.3781071,14919
1587859200000,2020-04-26,ETHBUSD,194.39,200.1,192.54,197.61,18476.54379,3616026.734118,11167
1587772800000,2020-04-25,ETHBUSD,187.85,198.33,185.98,194.42,20117.52706,3891202.7641996,12115
1587686400000,2020-04-24,ETHBUSD,185.56,190.0,184.85,187.74,15181.71618,2850402.2103271,9995
1587600000000,2020-04-23,ETHBUSD,182.92,194.15,178.37,185.76,48863.95948,9126874.8978208,19589
1587513600000,2020-04-22,ETHBUSD,170.91,184.18,170.07,182.92,20813.75617,3725833.625358,14590
1587427200000,2020-04-21,ETHBUSD,170.1,174.85,168.38,170.88,15647.87546,2685367.4090737,8793
1587340800000,2020-04-20,ETHBUSD,180.34,186.65,166.99,170.45,36232.31517,6398859.1755167,21546
1587254400000,2020-04-19,ETHBUSD,187.79,188.57,176.23,180.34,17985.59389,3283964.9039957,15435
1587168000000,2020-04-18,ETHBUSD,170.82,189.81,170.79,187.95,24304.78965,4388564.9683921,14880
1587081600000,2020-04-17,ETHBUSD,172.58,175.05,168.48,170.82,13339.90309,2279561.5758419,11212
