Unix,Date,Symbol,Open,High,Low,Close,Volume TOMO,Volume,tradecount
1625529600000,2021-07-06,TOMOUSDT,1.8411,2.218,1.8344,2.1681,5662618.22,11357435.911044,42109
1625443200000,2021-07-05,TOMOUSDT,1.9058,2.065,1.8184,1.8414,6428790.81,12447086.586945,50384
1625356800000,2021-07-04,TOMOUSDT,1.777,1.9549,1.6852,1.9068,3591141.01,6641116.343403,31895
1625270400000,2021-07-03,TOMOUSDT,1.7245,1.7853,1.6839,1.7745,1328781.91,2315452.242132,12736
1625184000000,2021-07-02,TOMOUSDT,1.6603,1.7483,1.5843,1.7266,2243580.59,3739896.086519,18658
1625097600000,2021-07-01,TOMOUSDT,1.6842,1.7127,1.5629,1.6612,3084132.05,5013741.041135,18969
1625011200000,2021-06-30,TOMOUSDT,1.7559,1.8038,1.5952,1.6831,4024247.5,6826844.201852,27294
1624924800000,2021-06-29,TOMOUSDT,1.462,1.7721,1.4554,1.7548,3297187.66,5346476.681909,23700
1624838400000,2021-06-28,TOMOUSDT,1.4337,1.525,1.4047,1.4601,1891151.49,2760065.890273,12228
1624752000000,2021-06-27,TOMOUSDT,1.3333,1.4357,1.315,1.4357,2365447.62,3259032.500982,16000
1624665600000,2021-06-26,TOMOUSDT,1.3475,1.4,1.2567,1.3333,3324971.5,4371226.033907,18741
1624579200000,2021-06-25,TOMOUSDT,1.4513,1.4699,1.3056,1.35,2937529.94,4066003.616042,21428
1624492800000,2021-06-24,TOMOUSDT,1.5724,1.59,1.4309,1.4522,4096412.23,6036657.943219,23492
1624406400000,2021-06-23,TOMOUSDT,1.4404,1.6207,1.3836,1.572,2892949.1,4431746.811247,20366
1624320000000,2021-06-22,TOMOUSDT,1.4768,1.5794,1.24,1.4452,5529138.79,7765337.798014,31566
1624233600000,2021-06-21,TOMOUSDT,1.7825,1.8175,1.465,1.4792,6017808.27,9990768.379365,35336
1624147200000,2021-06-20,TOMOUSDT,1.7391,1.7908,1.611,1.7834,2778752,4746854.073047,19781
1624060800000,2021-06-19,TOMOUSDT,1.8295,1.8935,1.7326,1.7401,2414135.62,4400252.259097,20891
1623974400000,2021-06-18,TOMOUSDT,1.9308,1.977,1.733,1.8287,11342456.83,21634204.116245,51603
1623888000000,2021-06-17,TOMOUSDT,1.8327,1.985,1.8056,1.9307,3641727.41,6891865.136318,35454
1623801600000,2021-06-16,TOMOUSDT,1.8164,1.9391,1.7842,1.8307,6309146.32,11782561.830034,51151
1623715200000,2021-06-15,TOMOUSDT,1.619,1.8987,1.598,1.8156,6436745.73,11333591.436266,49777
1623628800000,2021-06-14,TOMOUSDT,1.525,1.632,1.502,1.6176,2520472.85,3949040.396976,20037
