https://www.CryptoDataDownload.com
Unix,Date,Symbol,Open,High,Low,Close,Volume BNB,Volume BUSD,tradecount
1589673600000,2020-05-17,BNBBUSD,16.0563,16.502,15.9989,16.2802,28979.09,472013.094768,4445
1589587200000,2020-05-16,BNBBUSD,15.6849,16.2199,15.5759,16.0469,29206.57,467303.334656,5036
1589500800000,2020-05-15,BNBBUSD,16.3715,16.4611,15.55,15.7029,49304.84,789220.4706,7334
1589414400000,2020-05-14,BNBBUSD,16.2247,16.6924,16.0385,16.3749,57990.46,949054.353479,7087
1589328000000,2020-05-13,BNBBUSD,15.7908,16.3519,15.6885,16.2144,53788.94,865242.10454,5467
1589241600000,2020-05-12,BNBBUSD,15.083,16.24,14.9827,15.7862,90579.24,1426804.906793,10359
1589155200000,2020-05-11,BNBBUSD,15.3568,15.534,14.0856,15.0804,105624.67,1574637.12139,12260
1589068800000,2020-05-10,BNBBUSD,16.7741,16.7767,13.86,15.359,218238.58,3266019.591057,19090
1588982400000,2020-05-09,BNBBUSD,17.1507,17.492,16.7741,16.7741,61227.85,1049702.757477,8581
1588896000000,2020-05-08,BNBBUSD,17.0168,17.4147,16.8439,17.1645,54336.32,930927.655192,8515
1588809600000,2020-05-07,BNBBUSD,16.3733,17.25,16.1648,17.0083,98054.68,1636587.768928,12396
1588723200000,2020-05-06,BNBBUSD,16.8859,17.1534,16.3358,16.3734,39798.04,671639.717567,7298
1588636800000,2020-05-05,BNBBUSD,17.0407,17.3,16.6161,16.886,73704.79,1246042.319284,9664
1588550400000,2020-05-04,BNBBUSD,17.115,17.3185,16.2951,17.0299,63412.82,1063358.695584,11173
1588464000000,2020-05-03,BNBBUSD,17.5494,17.8105,16.889,17.1158,49938.5,865437.716151,10047
1588377600000,2020-05-02,BNBBUSD,17.4502,17.5759,17.2702,17.5419,29353.7,512334.3532,7074
1588291200000,2020-05-01,BNBBUSD,16.9623,17.8474,16.95,17.454,78609.29,1375635.630313,14013
1588204800000,2020-04-30,BNBBUSD,17.3759,18.1466,16.5151,16.9693,118752.56,2068789.619826,21342
1588118400000,2020-04-29,BNBBUSD,16.3727,17.5313,16.3256,17.3955,118482.56,2012920.402804,15745
1588032000000,2020-04-28,BNBBUSD,16.4488,16.5,16.1519,16.374,30343.23,495663.142046,5544
1587945600000,2020-04-27,BNBBUSD,16.3797,16.5653,16.0611,16.4401,37128.27,605800.314907,7740
1587859200000,2020-04-26,BNBBUSD,16.2408,16.45,16.0753,16.3796,32386.91,526785.27141,7014
1587772800000,2020-04-25,BNBBUSD,15.934,16.45,15.7959,16.2425,48513.01,783830.170879,10223
1587686400000,2020-04-24,BNBBUSD,16.0581,16.278,15.7009,15.9338,42937.04,687532.667428,7501
1587600000000,2020-04-23,BNBBUSD,15.7256,16.49,15.4219,16.0489,98862.48,1580409.183006,13533
1587513600000,2020-04-22,BNBBUSD,15.1344,15.817,14.9472,15.73,58295.25,901774.697116,7356
1587427200000,2020-04-21,BNBBUSD,14.9735,15.4442,14.7448,15.1419,64288.19,973279.002299,8256
1587340800000,2020-04-20,BNBBUSD,16.085,16.4566,14.8736,14.9714,86238.11,1348682.085772,11969
1587254400000,2020-04-19,BNBBUSD,16.6326,16.682,15.872,16.0849,53910.13,876474.690238,9067
1587168000000,2020-04-18,BNBBUSD,15.6483,16.8276,15.6483,16.63,70637.09,1146131.03051,8581
1587081600000,2020-04-17,BNBBUSD,15.7363,15.9499,15.2611,15.6483,60171.69,939254.319835,8634
1586995200000,2020-04-16,BNBBUSD,14.5622,15.7755,14.1272,15.7363,83515.66,1275268.229701,11034
1586908800000,2020-04-15,BNBBUSD,15.6182,15.8716,14.5,14.5621,72702.52,1108903.307595,8759
1586822400000,2020-04-14,BNBBUSD,15.0432,15.9948,14.825,15.6253,97452.54,1510442.809177,12950
1586736000000,2020-04-13,BNBBUSD,14.2857,15.1269,13.6479,15.0408,119724.4,1725643.447546,12473
1586649600000,2020-04-12,BNBBUSD,13.846,14.875,13.6757,14.2858,68319.04,984955.97171,8375
1586563200000,2020-04-11,BNBBUSD,13.7545,14.1122,13.5638,13.8114,40376.23,559560.731622,7365
1586476800000,2020-04-10,BNBBUSD,15.022,15.0804,13.4538,13.7543,123915.46,1740655.604478,17985
1586390400000,2020-04-09,BNBBUSD,15.1074,15.2345,14.6491,15.0526,33899.78,508809.646898,6957
1586304000000,2020-04-08,BNBBUSD,14.69,15.3569,14.5701,15.1074,63049.6,945910.366627,8924
1586217600000,2020-04-07,BNBBUSD,15.2014,15.5138,14.2349,14.6941,89019.96,1333879.370769,11653
1586131200000,2020-04-06,BNBBUSD,13.6909,15.2255,13.6438,15.1821,113516.42,1650169.049158,13457
1586044800000,2020-04-05,BNBBUSD,13.8014,13.9757,13.4163,13.7143,23740.11,324801.152504,3002
1585958400000,2020-04-04,BNBBUSD,13.397,14.1374,13.2,13.7997,60783.35,830479.756269,6830
1585872000000,2020-04-03,BNBBUSD,13.0295,13.6056,12.9387,13.4041,54956.51,729916.543627,6323
1585785600000,2020-04-02,BNBBUSD,12.7446,13.7343,12.57,13.0552,67322.5,877982.533247,8577
1585699200000,2020-04-01,BNBBUSD,12.5714,12.7608,12.0,12.75,83426.63,1026938.873298,6543
1585612800000,2020-03-31,BNBBUSD,12.1437,12.7539,12.1423,12.5714,54000.68,678275.596526,5554
1585526400000,2020-03-30,BNBBUSD,11.3,12.451,11.2683,12.1469,46374.52,557937.175623,5586
1585440000000,2020-03-29,BNBBUSD,12.2299,12.2326,11.2757,11.3,41126.6,479640.865983,4687
1585353600000,2020-03-28,BNBBUSD,12.3408,12.3898,11.662,12.1941,55745.92,672847.339166,6572
1585267200000,2020-03-27,BNBBUSD,13.2346,13.4,12.1224,12.3671,40210.32,518710.248793,5212
1585180800000,2020-03-26,BNBBUSD,12.36,13.2821,12.2077,13.252,80849.51,1021576.388852,8507
1585094400000,2020-03-25,BNBBUSD,12.4339,12.7166,12.102,12.36,44003.63,543823.193154,9224
1585008000000,2020-03-24,BNBBUSD,12.2269,12.6259,11.9476,12.4394,61980.05,763554.342437,11275
1584921600000,2020-03-23,BNBBUSD,11.1625,12.5452,10.8826,12.23,68353.18,798565.45063,9483
1584835200000,2020-03-22,BNBBUSD,12.0763,12.4852,11.0295,11.1873,97593.97,1137252.10578,13081
1584748800000,2020-03-21,BNBBUSD,11.9213,12.431,11.2581,12.08,77039.85,913208.423929,11546
1584662400000,2020-03-20,BNBBUSD,12.3064,13.6842,10.4012,11.9013,148590.7,1829082.373408,15750
1584576000000,2020-03-19,BNBBUSD,10.425,12.72,10.2666,12.3106,129206.74,1483405.914445,15283
1584489600000,2020-03-18,BNBBUSD,10.318,10.4728,9.6875,10.4248,96900.71,982162.916207,13370
1584403200000,2020-03-17,BNBBUSD,9.4453,10.5393,9.3338,10.3183,65705.11,667397.976758,7284
1584316800000,2020-03-16,BNBBUSD,10.3669,10.3669,8.4258,9.4283,106671.87,999139.61564,10962
1584230400000,2020-03-15,BNBBUSD,10.1713,11.2737,9.9712,10.3611,59291.39,623931.637123,6399
1584144000000,2020-03-14,BNBBUSD,10.9778,11.3329,9.8983,10.1726,61571.68,658596.038225,8415
1584057600000,2020-03-13,BNBBUSD,9.2607,11.6299,6.3423,10.9708,305167.95,2830854.486399,37871
1583971200000,2020-03-12,BNBBUSD,16.603,16.603,8.8254,9.28,472599.28,5672286.241917,51798
1583884800000,2020-03-11,BNBBUSD,16.8498,17.1249,15.4387,16.5828,31867.74,517114.766545,5355
1583798400000,2020-03-10,BNBBUSD,16.5989,17.4432,16.3017,16.8221,44504.72,749030.211635,6210
1583712000000,2020-03-09,BNBBUSD,16.8975,17.4914,15.6302,16.5938,143281.51,2354518.923212,11337
1583625600000,2020-03-08,BNBBUSD,20.21,20.2405,16.7296,16.8975,92903.39,1691517.985131,8751
1583539200000,2020-03-07,BNBBUSD,21.3778,21.5068,19.7511,20.2448,49894.55,1039371.835113,5928
1583452800000,2020-03-06,BNBBUSD,20.7796,21.7627,20.7084,21.3928,21350.65,453293.63904,4926
1583366400000,2020-03-05,BNBBUSD,19.9454,21.4653,19.9454,20.7993,35828.18,749127.020104,5529
1583280000000,2020-03-04,BNBBUSD,19.6773,20.2653,19.53,19.9454,34764.23,693520.792168,4055
1583193600000,2020-03-03,BNBBUSD,19.8979,20.3737,19.3022,19.6454,23240.37,460030.821563,4315
